filename,PQI,PNI,sample_id,Species_Display,Total_Ion_Count,Mean_Intensity,n_peaks,Mean_PPM_Error,Std_PPM_Error,Mean_Confidence,COL1A1_Corrected,COL1A2_Corrected,COL1A1_to_COL1A2_Ratio,COL3A1_Peaks,Ratio_QC,Fetal_Markers,Age_Category,Gelatin_Index,species,confidence,confidence_category,notes
EXB__IR4_I23,0.1693064394648891,,EXB__IR4_I23.txt,Sheep,2816017.0,1026.9938001458788,2742,-1.3399365056503267,1.8350537926081347,64.70224158483724,19851.0,576379.7000000001,0.0344408382182786,2144.0,REVIEW,1,Young/Fetal,,Sheep,0.75,Medium,Hydroxylation pattern suggests Ovis (score=1.40)
EXB__IR4_I9,0.5,,EXB__IR4_I9.txt,Bovidae,969610.0,5876.424242424242,165,-0.1964445655313668,1.1775557515178643,67.69291085734508,144753.0,18902.0,7.65807851021056,104.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
EXB__IR5_M16,1.0,,EXB__IR5_M16.txt,Bovidae,380341.0,3692.631067961165,103,-0.4010501553837773,0.5278810514976991,70.95828218998503,0.0,480738.7,0.0,3.0,REVIEW,0,Adult,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
EXB__IR5_M23,,,EXB__IR5_M23.txt,Bovidae,21723520.0,4262.020796546988,5097,-0.4507057871756245,2.0659714720462565,65.44969358506934,15300738.0,3144434.8000000003,4.865974005884937,3125.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
EXB__IR5_M9,1.0,,EXB__IR5_M9.txt,Bovidae,4598602.0,1956.851914893617,2350,0.1942593057500261,0.979705163011958,70.13113559411508,6667770.0,1523029.3,4.377965676694466,1247.0,REVIEW,1,Young/Fetal,,Bovidae,0.5,Low,COL3A1 and hydroxylation patterns ambiguous; Diagnostic masses inconclusive - family level only
J58_K21,1.0,,J58_K21.txt,Sheep,31414357.0,3738.91418709831,8402,0.0302270713695291,0.9694974383802484,70.61281273143808,51999303.0,15021016.4,3.461769937219428,1104.0,REVIEW,1,Young/Fetal,,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=14358.0:1)
J58_L17,1.0,,J58_L17.txt,Goat,21725936.0,2226.2461317757966,9759,0.018423747698115,0.9526744399991132,70.7176918731094,14834286.0,12493984.1,1.1873143011283327,2465.0,REVIEW,1,Young/Fetal,,Goat,0.9,High,ɑ2 757: Capra pattern detected (3077/3093 signal=1936)
J58_L7,1.0,,J58_L7.txt,Goat,18792121.0,2195.854288385137,8558,-0.0455400138302975,0.8971118612760781,71.31063778103696,12418842.0,10426990.6,1.1910284066046823,3586.0,REVIEW,1,Young/Fetal,,Goat,0.9,High,ɑ2 757: Capra pattern detected (3077/3093 signal=2577)
SENS__180_M14,1.0,,SENS__180_M14.txt,Sheep/Goat,13289688.0,2066.1828358208954,6432,-0.0222520363617007,1.0441175703268295,70.16458075466146,7482999.0,6129513.0,1.2208146063153793,2730.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
SENS__180_M21,1.0,,SENS__180_M21.txt,Sheep,17621554.0,2112.389594821386,8342,-0.1618803230545071,0.9600865346408696,70.4372612791663,10943022.0,5688361.9,1.9237562926507887,4972.0,PASS,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=4.0:1)
SENS__180_M7,1.0,,SENS__180_M7.txt,Sheep,14160241.0,1764.7359172482552,8024,0.0296946287497794,0.8920539858708907,71.11268773707667,14462532.0,8898002.1,1.6253684633317855,1289.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2966.0:1)
SENS__J119_M13,,,SENS__J119_M13.txt,Bovidae,1685676.0,2192.036410923277,769,-0.5165510955177433,1.581304702424016,67.0041648977043,791925.0,554910.2000000001,1.4271228029327987,443.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
SENS__J119_M20,,,SENS__J119_M20.txt,Calf,67213904.0,2506.2047056191504,26819,-0.1440652924481258,1.2554834967142432,69.93916679926669,51855156.0,24130091.7,2.1489829647021192,12449.0,PASS,1,Young/Fetal,,Calf,0.8,High,ɑ1 586: Bos dominant (ratio=3.7:1)
SENS__J119_M6,,,SENS__J119_M6.txt,Bovidae,2914931.0,3253.2712053571427,896,-1.138020226136258,2.352946410338583,64.72779565528927,986586.0,12512.5,78.84803196803196,814.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
SENS__J23_M10,1.0,,SENS__J23_M10.txt,Sheep/Goat,22864195.0,2142.44705772114,10672,0.0377643258821825,0.9042879727914608,71.3073015031645,15413883.0,9271255.5,1.6625453801807102,5388.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
SENS__J23_M17,1.0,,SENS__J23_M17.txt,Sheep,22144781.0,2009.873025957524,11018,-0.0391148013875706,0.8990634504963858,71.19033268655537,16268406.0,6846966.100000001,2.376002124502997,5992.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2430.0:1)
