sample_id,species,confidence,confidence_category,notes,evidence_Cervus,evidence_Bos,evidence_Ovis,evidence_Capra
V92_I11.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=9.5:1),0.9925617240654727,0.492541835597688,0.492541835597688,0.492541835597688
V92_I18.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=9.7:1),0.9930427005175855,0.49304156296641305,0.49304156296641305,0.49304156296641305
V92_I4.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=16.8:1),0.9913980799234272,0.49137575944127015,0.49137575944127015,0.49137575944127015
V93_A18.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=17.5:1),0.9903575737165493,0.49034835629313583,0.49034835629313583,0.49034835629313583
V93_A8.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=46.8:1),0.48992378855652285,0.48992378855652285,0.48992378855652285,0.48992378855652285
V93_C5.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=4.3:1),0.49123844012383355,0.49123844012383355,0.49123844012383355,0.49123844012383355
V9_C17.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=12.2:1),0.49123130310275454,0.49123130310275454,0.49123130310275454,0.49123130310275454
V9_E14.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=27.2:1),0.9892166589286626,0.4891496585749658,0.4891496585749658,0.4891496585749658
V9_E4.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=12.7:1),0.49166745473687246,0.49166745473687246,0.49166745473687246,0.49166745473687246
VatLat_10696_K14.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=65.9:1),0.9882491981893569,0.4882054935989658,0.4882054935989658,0.4882054935989658
VatLat_10696_K19.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=30.5:1),0.9806731961181812,0.480582344375909,0.480582344375909,0.480582344375909
VatLat_10696_K9.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=93565.0:1),0.9844044294479208,0.4843784149269768,0.4843784149269768,0.4843784149269768
regLat_316_K10.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.46881189529404,0.46881189529404,0.46881189529404,0.46881189529404
regLat_316_K15.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=158051.0:1),0.9866761557814439,0.4866202289948069,0.4866202289948069,0.4866202289948069
regLat_316_K20.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=550.0:1),0.9889700776416979,0.48896330171635827,0.48896330171635827,0.48896330171635827
