File_ID,Species,Run_Plate,UMAP1,UMAP2,UMAP3,Cluster,is_outlier,n_peaks,Cluster_Label,peak_id,mz_observed,intensity,snr,mz_theoretical,ppm_error,ptm_count,predicted_intensity,intensity_ratio,confidence_score,cluster_id,Confidence_Score,PPM_Error,mz,Centroid_F+16,Int_F+16,extraction_batch,spot,plate,century,period,PQI,PNI,COL3A1_Peaks,Fibre_Load,Dust_Load,Fetal_Markers,Gelatin_Correlation,Structure_Index,Predicted_d13C,Predicted_d15N,COL1A1_Corrected,COL1A2_Corrected,COL1A1_to_COL1A2_Ratio,Age_Confidence,Ratio_QC,Gelatin_Index,PNI_NonNP,PNI_NP,Total_Ion_Count,Hydroxylation_Ratio,Starch_Plant_Source,Starch_Confidence,Starch_Signal,eggs_signal,eggs_num_matches,milk_signal,milk_num_matches,starch_signal,starch_num_matches,Cluster_ID,Centroid_A,Int_A,Centroid_B1,Int_B1,Centroid_E,Int_E,Centroid_G,Int_G,Centroid_B2,Int_B2,Centroid_F-16,Int_F-16,Centroid_D,Int_D,Centroid_F,Int_F,Centroid_C,Int_C,filename,marker_id_helical,species,gene,ptm_type,match_type,isotope_cluster,notes,Extracted_SampleID,SampleType,Gene,Marker_ID,sample_id,collection,codex,folium,Species_Predicted,Age_Category,Gelatin_Score,Age_Class,Disulfide_Status,Hydroxylation_Status,Starch_Detected,eggs_detected,milk_detected,starch_detected,Spectrum_Image,Quality_Image
ET 40.txt,Unknown,,-1.5442296,0.45891628,-0.9839795,2,False,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 40.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 40.txt_Quality.png
ET 42.txt,Unknown,,-0.30487946,-1.2393038,-1.301814,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 42.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 42.txt_Quality.png
ET 45.txt,Unknown,,-1.6069846,0.31947505,-1.1175104,2,False,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 45.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 45.txt_Quality.png
ET 46.txt,Unknown,,-0.40779024,1.3250562,-0.21510665,3,False,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 46.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 46.txt_Quality.png
ET 48.txt,Unknown,,-0.43255687,1.5288129,-0.114093736,3,False,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 48.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 48.txt_Quality.png
ET 5.txt,Unknown,,0.8016336,-0.28891525,-1.7428421,-1,True,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 5.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 5.txt_Quality.png
ET 51.txt,Unknown,,-0.43545577,-0.77821976,-2.0078688,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 51.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 51.txt_Quality.png
ET 52.txt,Unknown,,0.5297524,-0.80432314,-1.4845296,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 52.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 52.txt_Quality.png
ET 55.txt,Unknown,,-0.4623473,1.4743912,-0.10864638,3,False,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 55.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 55.txt_Quality.png
ET 56.txt,Unknown,,-1.1621085,-1.0438787,-2.0044792,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 56.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 56.txt_Quality.png
ET 57.txt,Unknown,,-0.4571016,-1.1038249,-1.4488329,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 57.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 57.txt_Quality.png
ET 59.txt,Unknown,,-0.0056254715,-0.91645145,-0.98679936,-1,True,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 59.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 59.txt_Quality.png
ET 60.txt,Unknown,,2.2618895,1.2779614,0.47482908,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 60.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 60.txt_Quality.png
ET 61.txt,Unknown,,-0.970726,-1.0551543,-2.2503395,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 61.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 61.txt_Quality.png
ET 62.txt,Unknown,,-0.6547943,1.0186952,-0.15311469,-1,True,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 62.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 62.txt_Quality.png
ET 64.txt,Unknown,,-0.0300438,-0.9255741,-2.0139194,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 64.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 64.txt_Quality.png
ET 67.txt,Unknown,,0.23657387,-1.0870388,-1.5058947,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 67.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 67.txt_Quality.png
ET 68.txt,Unknown,,2.666243,1.0821115,0.6738865,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 68.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 68.txt_Quality.png
ET 69.txt,Unknown,,-0.4263866,-1.1762472,-1.3520906,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 69.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 69.txt_Quality.png
